id,date,text,hashtags,user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,source,retweets,favorites,is_retweet,reply_to_status
1348286903527768065,2021-01-10 15:13:42,#vaksin untuk #indonesia https://t.co/URgujrcKUn,"['vaksin', 'indonesia']",Ns. Bayu Aji Sismanto,"Bekasi, Jawa Barat","#nurseendoscopy #gastroenterology #pulmonology #gastroscopy #colonoscopy #broncoscopy #ercp📍 BKS - SMG - PWD
#Share and #Care to be #Profesional #Nurse",2012-04-22 04:00:39,214,627,1771,False,Twitter for Android,0,1,False,
1348302168248340481,2021-01-10 16:14:21,Tak Kenal maka Tak Kebal. Vaksin menjadi bukti manusia berjuang menjaga eksistensinya di dunia ini. Vaksin juga men… https://t.co/tQ97R12mXs,,DiskominfoKotaBogor,Kota Bogor - Jawa Barat,Akun twitter resmi Dinas Komunikasi dan Informatika (DISKOMINFO) Kota Bogor | IG : kominfo bogor,2014-05-06 02:08:47,4617,203,38,False,Twitter for iPhone,0,0,False,
1348307055040348160,2021-01-10 16:33:46,Sistem satu data mendukung Vaksinasi di Indonesia #Vaksin #Covid19 #CoronaVirus #Kesehatan https://t.co/gqyLHMdhOh,"['Vaksin', 'Covid19', 'CoronaVirus', 'Kesehatan']",Indah Nur Hidayah,,,2020-11-25 03:24:19,10,22,38,False,Twitter Web App,0,0,False,
1348322660925669377,2021-01-10 17:35:47,"https://t.co/Te1d94JHHM
Siap menerima vaksin covid 19

#vaksinhalal
#vaksinsiap34propinsi
#vaksicovid19
#jokowidodo… https://t.co/zinsBbp9Hn","['vaksinhalal', 'vaksinsiap34propinsi', 'vaksicovid19', 'jokowidodo']",lemahku,,"lemahku, dark side, toxic, and anything negative soul",2020-11-30 13:07:42,3,158,10,False,Twitter for Android,0,0,False,
1348425614584266753,2021-01-11 00:24:53,Apa Perbedaan Vaksin China Sinovac dan Sinopharm serta Merek Lain? #Vaksin #Perusahaanfarmasi #Virus #Farmasi… https://t.co/rJ2Ltk3vGz,"['Vaksin', 'Perusahaanfarmasi', 'Virus', 'Farmasi']",BaBe - Baca Berita,Indonesia,"Aku resmi BaBe - Aplikasi berita pintar yang menyajikan berita terhangat & terlengkap!
Download Aplikasinya disini https://t.co/XCH2Gleboa",2014-01-23 08:06:14,5128,48,95,False,BaBe ,0,0,False,
1348427123594207233,2021-01-11 00:30:53,Dua Lagi Obat yang Dapat Selamatkan Nyawa Pasien COVID-19 Ditemukan #Infus #Virus #Wabah #Radang #Vaksin… https://t.co/QKrbcMVHwn,"['Infus', 'Virus', 'Wabah', 'Radang', 'Vaksin']",BaBe - Baca Berita,Indonesia,"Aku resmi BaBe - Aplikasi berita pintar yang menyajikan berita terhangat & terlengkap!
Download Aplikasinya disini https://t.co/XCH2Gleboa",2014-01-23 08:06:14,5128,48,95,False,BaBe ,0,0,False,
1348434452775657475,2021-01-11 01:00:00,"Vaksin buatan Tiongkok kembali dipertanyakan, orang tua tidak boleh suntik!

Nonton video selengkapnya di:… https://t.co/LEvCSTQ1T1",,ET News Indonesia,,The Real China news,2017-10-07 05:08:58,478,29,3,False,Twitter Web App,0,0,False,
1348436254736613380,2021-01-11 01:07:10,"Kabar Duka, Dokter Pribadi Paus Fransiskus Meninggal Akibat Covid-19 #Vatikan #PausFransiskus #Vaksinasi #Italia… https://t.co/hU2TsTDtvi","['Vatikan', 'PausFransiskus', 'Vaksinasi', 'Italia']",BaBe - Baca Berita,Indonesia,"Aku resmi BaBe - Aplikasi berita pintar yang menyajikan berita terhangat & terlengkap!
Download Aplikasinya disini https://t.co/XCH2Gleboa",2014-01-23 08:06:14,5128,48,95,False,BaBe ,0,0,False,
1348444990914011138,2021-01-11 01:41:53,Masker bekas rawan tertular virus. Pakai masker baru utk mencegah secara maksimal penularan virus covid-19.… https://t.co/TF6sHl4GFd,,Randy Aldino,,Pemuda melek politik,2018-03-16 15:05:13,1776,1959,7795,False,Twitter for Android,0,1,False,
1348449403598561280,2021-01-11 01:59:25,"27 wakil supervisor kab/kota sudah terlatih, 67 rumah sakit umum di 27 kabupaten/kota sudah terlatih, 18 RS TNI, Po… https://t.co/7yOtPQWOdW",,BP2D Jabar | #75TahunJabar,Jl. Kawaluyaan Indah Raya No 6,"Badan Penelitian dan Pengembangan Daerah Provinsi Jawa Barat | bp2d@jabarprov.go.id | (022) 87328066

Silahkan Mengisi Kuesioner SKM BP2D Jabar
https://t.co/VLc2bumH0I",2015-03-19 10:06:44,1352,142,990,False,Twitter Web App,0,0,False,
